-0.17,0.89,-1
0.69,-0.11,1
0.85,-0.33,1
0.2,-0.01,1
0.2,-0.37,1
0.72,-0.73,1
0.03,0.78,-1
0.7,0.77,1
-0.78,0.59,1
0.96,0.34,1
0.45,-0.08,1
-0.06,-0.14,1
0.26,-0.86,1
-0.99,-0.79,1
0.82,-0.84,1
-0.48,0.39,1
0.13,-0.73,1
0.13,-0.85,1
-0.51,-0.75,1
-0.48,-0.44,1
-0.42,-0.97,1
0.57,-0.75,1
0.53,0.58,-1
-0.93,-0.96,1
-0.17,0.61,-1
0.04,0.3,-1
0.33,-0.96,1
-0.41,0.28,-1
0.6,0.48,1
-0.09,-0.57,1
-0.81,0.35,1
-0.92,-0.23,1
-0.57,0.38,1
-0.39,0.28,-1
-0.69,-0.36,1
-0.68,0.33,1
0.04,0.36,-1
0.01,0.81,-1
0.53,0.65,1
-0.92,-0.05,1
-0.75,0.28,1
-0.47,-0.88,1
0.67,0.91,-1
-0.85,0.24,1
-0.34,0.88,-1
0.37,-0.81,1
-0.75,0.76,1
0.61,0.47,1
0.32,-0.89,1
0.46,0.25,1
0.15,-0.44,1
-0.93,-0.11,1
0.8,0.34,1
-0.89,-0.35,1
-0.98,-0.08,1
-0.86,0.1,1
0.35,0.27,1
0.77,-0.34,1
0.62,-0.75,1
-0.93,-0.36,1
-0.5,0.23,1
0.63,-0.67,1
-0.19,-0.15,1
-0.9,-0.84,1
-0.86,0.72,1
-0.71,0.99,1
0.47,-0.3,1
-0.21,-0.12,1
-0.84,-0.02,1
0.54,-0.88,1
-0.16,0.11,-1
0.6,-0.88,1
-0.33,-0.23,1
-0.3,-0.92,1
0.17,-0.31,1
0.67,0.22,1
0.84,0.58,1
0.45,0.32,1
0.33,0.26,1
0.91,-0.87,1
0.31,0.59,-1
-0.55,-0.57,1
-0.45,-0.86,1
-0.18,0.35,-1
-0.78,-0.76,1
0.66,-0.53,1
-0.37,0.66,-1
0.6,0.58,1
-0.3,0.82,-1
0.5,0.04,1
0.55,-0.98,1
-0.65,0.53,1
-0.78,-0.68,1
-0.65,-0.93,1
-0.45,-0.65,1
0.25,-0.92,1
0.25,0.07,1
0.13,0.75,-1
-0.49,-0.84,1
-1,0.36,1
0.53,-0.22,1
0.05,0.23,-1
-0.59,-0.26,1
0.52,-0.75,1
0.55,-0.31,1
-0.03,-0.34,1
-0.33,0.09,1
0.77,-0.61,1
0.92,0.94,1
0.16,-0.78,1
0.07,-0.48,1
-0.79,-0.86,1
0.88,0.61,1
-0.74,-0.74,1
0.42,0.23,1
-0.89,0.1,1
0.98,0.98,1
-0.7,-0.06,1
-0.51,-0.84,1
-0.62,-0.47,1
0.21,-0.7,1
0.81,-0.23,1
-0.16,0.65,-1
-0.6,0.4,1
-0.32,-0.4,1
-0.82,0.81,1
0.12,0.84,-1
